Story Title (Hindi),Complete Story Text (Hindi)
माखन चोर की लीला,"गोकुल की हर माँ एक ही शिकायत लेकर यशोदा के पास आती थी — ""तुम्हारे कन्हैया ने फिर मेरा मटका तोड़ा!"" यशोदा सुनती, माफी माँगती, पर मन-ही-मन मुस्कुराती। उनका लाला था ही ऐसा — माखन के लिए कुछ भी।

कृष्ण की टोली की योजना बड़ी सोची-समझी होती थी। जहाँ माखन ऊँचे मटके में छुपाया जाता, वहाँ एक के कंधे पर दूसरा, दूसरे पर तीसरा — मानव-सीढ़ी बनाते। कृष्ण सबसे ऊपर, हाथ मटके में, माखन मुँह में और आँखों में शरारत।

एक दिन यशोदा ने रंगे हाथों पकड़ लिया। कृष्ण के मुख पर माखन लगा था। यशोदा ने पूछा — ""कन्हैया, क्या तूने माखन खाया?"" कृष्ण ने मुँह पोंछते हुए कहा — ""माँ, मैंने नहीं खाया। यह सब बलराम ने लगाया होगा!"" यशोदा हँस पड़ीं — पर फिर नाराज़गी का भाव लाया।

यशोदा ने कृष्ण को बाँधने का निश्चय किया। ऊखल से बाँधा — पर रस्सी हमेशा दो अंगुल छोटी रहती। जितनी रस्सी जोड़ो, उतनी कम। अंत में यशोदा हार गईं — थक गईं। तब कृष्ण ने अनुभव किया — माँ थक गईं, उन्हें चोट पहुँची। और उन्होंने बँध जाना स्वीकार किया।

इसीलिए कृष्ण को ""दामोदर"" कहते हैं — जिसका उदर रस्सी से बँधा। यह केवल बचपन की कहानी नहीं है। इसमें एक गहरा सत्य है — ईश्वर ब्रह्मांड की शक्ति से नहीं बँधता, पर भक्त के प्रेम से बँध जाता है। माखन तो बहाना था — असली बात थी यशोदा का वात्सल्य।

यह लीला आज भी जन्माष्टमी पर मटकी-फोड़ के रूप में मनाई जाती है। लोग एक-दूसरे के कंधों पर चढ़कर ऊँचाई पर टंगी मटकी तोड़ते हैं — कृष्ण की याद में। यह सिखाती है — ईश्वर का सबसे प्रिय रूप वह है जब वह हमारे बीच आकर हमारी तरह खाता है, हँसता है, और हमें प्रेम करता है।"
,
,
,
कालिया नाग दमन,"यमुना नदी के एक कुंड में कालिया नाग रहता था — जिसके विष से यमुना का पानी काला और जहरीला हो गया था। कुंड के पास के वृक्ष मर चुके थे। पक्षी उस दिशा में उड़ते नहीं थे। गोकुल के लोग भयभीत थे — ""न जाओ उस तट पर।""

एक दिन कृष्ण और उनके साथी यमुना के तट पर खेल रहे थे। गेंद कालिया के कुंड में जा गिरी। कृष्ण ने एक पल भी नहीं सोचा — एक ऊँचे कदंब के वृक्ष पर चढ़े और कुंड में छलाँग लगा दी। साथियों के मुँह से चीख निकल गई।

कालिया ने कृष्ण को अपनी कुंडलियों में जकड़ लिया। तट पर खड़े साथी और यशोदा-नंद रोने लगे। पर कृष्ण के होंठों पर मुस्कान थी। अचानक उनका शरीर विशाल होने लगा — कालिया की पकड़ ढीली पड़ने लगी। कृष्ण कालिया के फनों पर चढ़ गए।

कालिया के फनों से रक्त बहने लगा। उसकी पत्नियाँ — नाग-कन्याएँ — बाहर आईं और कृष्ण के चरणों में गिर पड़ीं: ""प्रभु, इसे क्षमा करें। यह अज्ञानी है। इसे जीवनदान दें।"" कृष्ण रुके। उन्होंने कालिया को देखा — अब उसमें अहंकार नहीं था, केवल पीड़ा थी।

कृष्ण ने कालिया को क्षमा किया और आदेश दिया — ""अब तुम इस यमुना में नहीं रह सकते। रमणक द्वीप जाओ। और मेरे पदचिह्न तुम्हारे फनों पर सदा रहेंगे — गरुड़ तुम्हें नहीं छुएगा।"" कालिया ने सिर झुकाया और यमुना छोड़ दी। नदी फिर से स्वच्छ, नीली, पवित्र हो गई।

यह कथा केवल नाग के दमन की नहीं है। यह सिखाती है — भीतर का कालिया हमारा अहंकार है। वह हमारी आत्मा की नदी को विषाक्त करता है। कृष्ण हमारे अंदर आकर उस पर नृत्य करते हैं — और जब हम झुक जाते हैं, हमें निष्कासित नहीं करते, क्षमा करते हैं।"
कृष्ण ने गोवर्धन पर्वत उठाया,"गोकुल में इंद्र की पूजा की परंपरा थी। हर वर्ष वर्षा के लिए इंद्र को प्रसन्न करने हेतु बड़ा यज्ञ होता। एक बार कृष्ण ने नंद बाबा से पूछा — ""हम गोवर्धन पर्वत की पूजा क्यों नहीं करते? वही हमें चारा देता है, जल देता है, छाया देता है।""

नंद बाबा चौंके। पर कृष्ण के तर्क में दम था। गोकुल ने इंद्र यज्ञ छोड़ गोवर्धन पूजा आरंभ की। इंद्र को यह अपमान लगा। उन्होंने अपने बादलों को आदेश दिया — ""गोकुल को डुबो दो।"" मूसलाधार वर्षा शुरू हुई — ऐसी जो पहले कभी नहीं देखी थी।

गोकुल के लोग घबराए। पशु, बच्चे, बूढ़े — सब भीग रहे थे। तब कृष्ण आगे आए। उन्होंने एक हाथ से गोवर्धन पर्वत उठा लिया — जैसे कोई छाता उठाता हो — और गोकुलवासियों से कहा: ""आओ, इसके नीचे आ जाओ।""

सात दिन और सात रात कृष्ण ने गोवर्धन थामे रखा। सारे गोकुलवासी, उनके पशु, सब उसके नीचे सुरक्षित थे। इंद्र की वर्षा जारी रही — पर एक बूँद भी नीचे नहीं आई। सातवें दिन इंद्र थक गए। उन्होंने बादल वापस बुलाए।

इंद्र अपने ऐरावत पर उतरे और कृष्ण के चरणों में झुके। ""प्रभु, मैंने अपनी भूल की। मैं नहीं जानता था आप कौन हैं।"" कृष्ण ने इंद्र को क्षमा किया और गोवर्धन को धीरे-धीरे वापस उसी स्थान पर रख दिया। फिर गोकुलवासियों से कहा — ""अब सब सामान्य है। घर जाओ।""

यह कथा हमें सिखाती है — अहंकार, चाहे इंद्र जैसे शक्तिशाली का हो, टिकता नहीं। और जो ईश्वर की शरण में है — उसे किसी और की शरण की ज़रूरत नहीं। गोवर्धन आज भी है। उस पर कृष्ण के हाथ की छाप आज भी है — जो याद दिलाती है: जब आप उनकी शरण लेते हैं, वे पर्वत बनकर आपकी रक्षा करते हैं।"
परीक्षण कथा,
सीता हरण,"पंचवटी का वन — नासिक के पास, गोदावरी के तट पर। राम, सीता और लक्ष्मण की वन-कुटिया यहाँ थी। वनवास के तेरह वर्ष बीत चुके थे — शांत, साधारण, संतुष्ट। पर उसी वन में रावण की बहन शूर्पणखा विचरती थी। उसने राम को देखा और मोहित हो गई। राम ने अस्वीकार किया। तब उसने सीता पर आक्रमण किया। लक्ष्मण ने उसकी नाक काटी।

रावण ने अपनी बहन की दशा देखी और प्रतिशोध की आग भड़क उठी। पर उसके मन में सीता की छवि भी बस गई — जो शूर्पणखा ने बताई थी। उसने मारीच को बुलाया — ""तुम सोने का हिरण बनो।"" मारीच ने मना किया — ""यह विनाश का मार्ग है।"" रावण ने धमकाया। और मारीच मर जाना पसंद करता था रावण के हाथों नहीं — तो वह सहमत हो गया।

सोने का हिरण आया — अद्भुत, चमकता, लुभावना। सीता मोहित हो गईं: ""राम, यह हिरण चाहिए।"" राम जानते थे — कुछ गड़बड़ है। पर सीता की इच्छा। वे गए। लक्ष्मण को आदेश: ""सीता की रक्षा करो।"" दूर जाकर राम ने बाण चलाया। मारीच मरते हुए चिल्लाया — ""हा सीते! हा लक्ष्मण!"" राम की आवाज़ में।

सीता ने आवाज़ सुनी — राम की। घबराकर लक्ष्मण को भेजा। लक्ष्मण ने मना किया — ""यह माया है।"" सीता ने कहा: ""जाओ — वरना मैं प्राण दे दूँगी।"" लक्ष्मण ने लक्ष्मण रेखा खींची। ""इसे पार मत करना।"" और चले गए। तब रावण आया — एक भिक्षु के वेश में। ""भिक्षां देहि।"" सीता ने भिक्षा देने के लिए कदम आगे बढ़ाया।

भिक्षु का रूप हटा — रावण खड़ा था। दस सिर, बीस भुजाएँ, सोने का मुकुट। सीता ने पुकारा — पर राम दूर थे। जटायु — गिद्धराज — ने रावण का मार्ग रोका। बूढ़ा पक्षी रावण से लड़ा — जब तक उसके पंख न कट गए। रावण सीता को लेकर आकाश में उड़ा — और सीता फूल गिराती गईं — राम के लिए।

राम वापस आए — कुटिया खाली थी। उनका विलाप उस वन में गूंजा जैसे किसी साधारण मनुष्य का — ""सीता... सीता...!"" यह अवतार का दर्द था। उन्होंने जटायु को मरते हुए पाया। जटायु ने बताया — दक्षिण की ओर। राम ने उन्हें अपने पिता की तरह अंत्येष्टि दी। और फिर दक्षिण की ओर चले। यह कथा कहती है — सबसे बड़ा परीक्षण तब आता है जब सबसे प्रिय खो जाता है। और सबसे बड़ी शक्ति तब दिखती है जब हम फिर भी चलते रहते हैं।"
रावण वध,"रामसेतु पार करके राम की सेना लंका के द्वार पर खड़ी थी। रावण ने विभीषण को राज्य से निकाला था — और विभीषण राम की शरण में आ गए थे। सुग्रीव ने पूछा: ""क्या इस पर विश्वास करें?"" राम ने कहा: ""जो भय छोड़कर मेरी शरण आए — मैं उसे कभी नहीं लौटाता।""

युद्ध आरंभ हुआ। रावण के महायोद्धा एक-एक गिरे। इंद्रजीत ने ब्रह्मास्त्र से लक्ष्मण को घायल किया — लक्ष्मण मूर्छित हो गए। राम विलाप करने लगे। हनुमान ने संजीवनी पर्वत उठाया, लक्ष्मण जीवित हुए। कुंभकर्ण जागा — विशाल, भयंकर। पर राम के बाण से वह भी गिरा। इंद्रजीत का अंत लक्ष्मण ने किया।

रावण स्वयं रणभूमि में उतरा। दस सिर, बीस भुजाएँ, चमकता कवच। राम के बाण उसके सिर काटते — नए सिर उग आते। राम ने सोचा। तब अगस्त्य मुनि प्रकट हुए — ""आदित्य हृदयम्।"" सूर्य स्तोत्र। राम ने तीन बार पाठ किया। उनके भीतर एक अलग ऊर्जा जागी। वे जानते थे अब — कहाँ प्रहार करना है।

विभीषण ने बताया था — रावण की नाभि में अमृत है। वहाँ बाण लगे तो ही वह मरेगा। राम ने ब्रह्मास्त्र उठाया — अगस्त्य मुनि द्वारा दिया गया दिव्य बाण। उस बाण में वायु था, अग्नि था, सूर्य का तेज था, पर्वतों का भार था। राम ने प्रत्यंचा खींची। पूरा आकाश स्तब्ध हो गया।

बाण छूटा। सीधा रावण की नाभि में। रावण गिरा — जैसे कोई महापर्वत धराशायी होता है। उसके दस सिर शांत हो गए। उसका तेज — वह ज्ञान, वह शक्ति, वह अभिमान — एक प्रकाश बनकर राम के चरणों में समा गया। देवता फूल बरसाने लगे। सीता अशोक वाटिका से मुक्त हुईं। राम ने विभीषण को लंका का राजा बनाया।

रावण के पतन से एक प्रश्न उठता है — वह तो महापंडित था, वेदों का ज्ञाता, शिव भक्त। फिर क्यों मारा गया? क्योंकि ज्ञान बिना विनम्रता के अहंकार बन जाता है। शक्ति बिना संयम के विनाश बन जाती है। रावण के पास सब कुछ था — पर वह ""नहीं"" सुनना नहीं जानता था। और जो ""नहीं"" नहीं सुनता, वह एक दिन राम का सामना करता है।

रावण वध विजयादशमी पर मनाया जाता है — दशहरा। पूरे भारत में रावण के पुतले जलाए जाते हैं। पर यह उत्सव केवल एक दानव के अंत का नहीं — यह हमारे भीतर के अहंकार, क्रोध, और अधर्म को जलाने का संकल्प है। जब रावण का पुतला जले — तो उसके साथ अपने भीतर का एक दोष भी जलाएँ। यही दशहरे का असली अर्थ है।"
शिव-पार्वती विवाह,"देवी सती की मृत्यु के बाद शिव वैरागी हो गए। वे हिमालय की गुफाओं में समाधि में लीन हो गए — न खाना, न पानी, न संसार की चिंता। तब असुर तारकासुर ने ब्रह्मा से वरदान माँगा — ""केवल शिव-पुत्र ही मुझे मार सके।"" उसे विश्वास था — वैरागी शिव का पुत्र कभी नहीं होगा।

हिमालय-पुत्री पार्वती, देवी सती का ही पुनर्जन्म थीं — पवित्र, दिव्य, अनंत प्रेम से भरी। उन्होंने शिव को प्रेम किया — न शक्ति के लिए, न वरदान के लिए, केवल इसलिए कि वे शिव थे। उन्होंने उनकी सेवा का निश्चय किया। वे प्रतिदिन उनकी गुफा के पास फूल चढ़ातीं, साफ़ करतीं, प्रार्थना करतीं। शिव की समाधि न टूटी।

देवताओं ने कामदेव को भेजा — प्रेम के देवता — शिव की समाधि तोड़ने के लिए। कामदेव ने फूलों का बाण चलाया। शिव की आँखें खुलीं — तीसरा नेत्र। एक ज्वाला निकली और कामदेव भस्म हो गए। देवता भयभीत हुए। पर शिव ने पार्वती को देखा — शांत, समर्पित, निष्काम। उनका क्रोध शांत हुआ।

पार्वती ने तब कठोर तपस्या का संकल्प लिया। उन्होंने फल-फूल खाना छोड़ा, पत्ते खाए, फिर वे भी छोड़ दिए। ""अपर्णा"" — बिना पत्तों वाली — वे कहलाईं। उनकी तपस्या से तीनों लोक गर्म होने लगे। तब शिव प्रकट हुए — एक वृद्ध ब्राह्मण के रूप में — पार्वती की परीक्षा लेने।

वृद्ध ब्राह्मण का रूप विलुप्त हुआ — और सामने खड़े थे स्वयं महादेव। पार्वती की तपस्या पूरी हुई। शिव ने उनका हाथ माँगा। हिमालय और मेनका की सहर्ष स्वीकृति मिली। विवाह का उत्सव तीनों लोकों में मनाया गया। शिव का दुकूल-वेश, जटाओं में गंगा, गले में नाग, माथे पर चंद्रमा — पार्वती ने उन्हें वैसे ही स्वीकार किया।

शिव-पार्वती का विवाह केवल एक कथा नहीं — यह एक संदेश है। पार्वती ने सिखाया: प्रेम में कोई शर्त नहीं होती। प्रतीक्षा में शक्ति होती है। निष्काम भक्ति कभी व्यर्थ नहीं जाती। और शिव ने सिखाया: कितने भी घाव हों, प्रेम की वापसी संभव है। जो जोड़ी कैलाश पर विराजमान है — वह संसार को सिखाती है कि प्रेम, शक्ति, और वैराग्य एक साथ हो सकते हैं।"
